reporting_day,Total_Sales,Walkins_count,Holiday,preciptype,Tem
1/19/22,683.92,5,0,1,3.8
1/20/22,2279.09,151,0,1,2.8
1/21/22,23861.57,582,0,1,2.3
1/22/22,40025.52,961,0,1,4.8
1/23/22,28019.49,764,0,1,4.8
1/24/22,NULL,NULL,0,0,4.3
1/25/22,0,NULL,0,0,2.8
1/26/22,15847.97,357,0,0,2.2
1/27/22,8605.5,198,0,1,4.9
1/28/22,37576.85,954,0,1,4.8
1/29/22,56619.14,1488,0,1,7.6
1/30/22,36890.04,1082,0,0,5.3
1/31/22,40.67,2,0,1,4.6
2/1/22,9.24,NULL,0,1,5.1
2/2/22,16202.14,391,0,1,7.4
2/3/22,13068.37,295,1,1,7.1
2/4/22,40879.37,1046,0,1,6.3
2/5/22,59669.16,1698,0,1,4.9
2/6/22,33494.24,951,0,1,6.3
2/7/22,0,1,0,1,4.8
2/8/22,NULL,NULL,0,1,8
2/9/22,12224.81,335,0,1,8.8
2/10/22,11803.79,291,0,1,6
2/11/22,43424.89,1111,0,1,3.8
2/12/22,68474.83,1834,0,0,2.6
2/13/22,42352.07,1032,0,0,5.5
2/14/22,21.18,36,1,1,9.2
2/15/22,52.69,NULL,0,1,7
2/16/22,13141.86,375,0,1,10.1
2/17/22,906.04,NULL,0,1,9.6
2/18/22,20644.88,585,0,1,8.6
2/19/22,68443.23,1915,0,1,5.8
2/20/22,26499.9,833,0,1,7.7
2/21/22,NULL,NULL,0,1,5.4
2/22/22,5.88,NULL,0,1,6.4
2/23/22,21073.43,536,0,0,7.1
2/24/22,10850.97,367,0,1,7
2/25/22,47915.49,1318,0,1,3.2
2/26/22,68967.61,1925,0,0,2.6
2/27/22,49032.71,1640,0,0,4.6
2/28/22,17028.59,567,1,0,6.5
3/1/22,7658.41,221,0,0,5.9
3/2/22,13765.4,401,0,0,6.4
3/3/22,14980.78,537,0,0,5.7
3/4/22,43221.9,1281,0,0,4.1
3/5/22,73316.36,2049,0,0,3.5
3/6/22,33211.23,1121,0,0,1.8
3/7/22,9534.43,267,0,0,2.7
3/8/22,9516.51,299,0,0,5.1
3/9/22,10311.53,328,0,0,7.7
3/10/22,15814.22,593,0,0,9.8
3/11/22,41799.03,1200,0,0,9.7
3/12/22,69017.57,1897,0,0,10.9
3/13/22,37310.87,1162,0,0,11.6
3/14/22,6767.85,239,0,1,9.6
3/15/22,11103.09,300,0,1,8.3
3/16/22,13483.6,414,0,0,9
3/17/22,21692.46,714,0,1,8.9
3/18/22,42851.96,1144,0,0,7.8
3/19/22,62461.95,1800,0,0,8.3
3/20/22,35103.53,1095,0,1,7.2
3/21/22,10382.29,393,0,1,11.4
3/22/22,11993.15,376,0,0,13.5
3/23/22,15463.75,448,0,0,11.5
3/24/22,16146.82,672,0,0,10.7
3/25/22,44911.44,1308,0,0,10.9
3/26/22,71364.21,1953,0,0,11.8
3/27/22,40001,1263,1,0,11.3
3/28/22,14753.54,416,0,0,11.1
3/29/22,10878.75,396,0,0,8.7
3/30/22,16108.64,513,0,0,7.9
3/31/22,19519.3,808,0,1,4.8
4/1/22,39578.87,1085,0,1,0.9
4/2/22,70945.4,1939,0,1,2.4
4/3/22,30804.89,1014,0,1,2.9
4/4/22,10947.19,294,0,1,3.8
4/5/22,10822.34,318,0,1,9.5
4/6/22,15244.35,442,0,1,9.5
4/7/22,14967.37,595,0,1,9.5
4/8/22,44885.43,1256,0,1,6.4
4/9/22,72677.13,2006,0,1,5.4
4/10/22,41186.87,1297,1,1,5.2
4/11/22,18249.75,578,0,0,9.7
4/12/22,19065.85,675,0,0,15.4
4/13/22,22369.91,789,0,1,15.7
4/14/22,32641.72,1314,0,1,14.4
4/15/22,64221.22,2027,1,0,9.1
4/16/22,67965.65,2049,0,0,10
4/17/22,37081.16,1224,1,0,11.8
4/18/22,32727.26,1217,1,0,13.4
4/19/22,21498.37,791,0,0,12.4
4/20/22,23233.68,872,0,0,12.1
4/21/22,33214.16,1534,0,0,11.9
4/22/22,49339.72,1495,0,0,12
4/23/22,71987.26,2089,0,1,13.5
4/24/22,33280.37,1096,0,1,13.1
4/25/22,10385.17,333,0,1,9.2
4/26/22,10587.42,307,0,1,10.2
4/27/22,12409.92,405,0,0,10.5
4/28/22,15125.14,618,0,0,11.1
4/29/22,48782.98,1364,0,0,10.6
4/30/22,76386.7,2208,0,1,9.6
5/1/22,36022.75,1169,1,0,11
5/2/22,12651.3,454,0,0,12.9
5/3/22,12524.06,394,0,0,12.8
5/4/22,16522.02,433,0,0,12.1
5/5/22,28273.74,951,0,1,13.7
5/6/22,49676.17,1402,1,1,14.5
5/7/22,78634.85,2081,0,1,15
5/8/22,30881.26,1014,1,1,13.4
5/9/22,13595.13,439,1,0,16.4
5/10/22,10913.22,728,0,1,19.4
5/11/22,16508.65,563,0,1,19.6
5/12/22,22834.51,912,0,1,15.3
5/13/22,47959.99,1300,0,1,14.2
5/14/22,79346.87,2191,0,0,15.5
5/15/22,37249.16,1086,0,0,18.7
5/16/22,13219.08,379,0,1,18.5
5/17/22,16048.68,484,0,0,17.9
5/18/22,17859.03,531,0,0,23.2
5/19/22,20898.39,774,0,1,21
5/20/22,41016.88,1168,0,1,17.2
5/21/22,76441.37,2087,0,1,14.3
5/22/22,35535.69,1103,0,1,16.3
5/23/22,12463.4,384,0,1,18.6
5/24/22,13314.61,421,0,1,13.8
5/25/22,38316.14,1226,0,0,14.3
5/26/22,62967.58,2293,1,1,16.5
5/27/22,55223.34,1691,0,1,14.8
5/28/22,77007.85,2123,0,1,12.4
5/29/22,35674.37,1167,0,1,10.1
5/30/22,12434.32,405,0,1,11.6
5/31/22,14172.45,468,0,1,12.6
6/1/22,12435.59,466,0,1,12
6/2/22,26456.66,1056,0,0,13.6
6/3/22,47542.2,1338,0,0,18
6/4/22,71572.09,1985,0,0,18.9
6/5/22,62447.82,1982,0,1,18.1
6/6/22,45159.29,1636,1,1,16.6
6/7/22,15647.19,500,0,1,15.7
6/8/22,19349.82,554,0,1,15.6
6/9/22,27260.53,1150,0,1,15.3
6/10/22,45657.94,1291,0,1,17.1
6/11/22,76918.98,2108,0,1,19.9
6/12/22,39010.27,1266,0,0,17.9
6/13/22,13502.11,404,0,1,15.3
6/14/22,14933.15,441,0,0,15.5
6/15/22,33693.36,1097,0,0,19.6
6/16/22,50149.93,1831,1,0,19.2
6/17/22,41942.64,1259,0,0,21.4
6/18/22,58113.5,1644,0,0,26.1
6/19/22,25619.03,837,0,1,18.8
6/20/22,12435.32,378,0,1,16
6/21/22,12588.32,411,0,0,16.6
6/22/22,13113.81,417,0,0,20.6
6/23/22,22312.46,898,0,0,24.5
6/24/22,43327.33,1235,0,1,20.6
6/25/22,72562.74,2094,0,1,20.7
6/26/22,41574.9,1330,0,1,18.5
6/27/22,16091.45,535,0,1,17.3
6/28/22,13446.24,504,0,1,18.4
6/29/22,16312.33,567,0,0,21.1
6/30/22,25294.35,1093,0,1,21.8
7/1/22,51698.92,1398,0,1,16.5
7/2/22,75759.39,2112,0,0,19.2
7/3/22,38643.38,1226,0,0,19.9
7/4/22,12766.07,460,0,0,18.1
7/5/22,15999.11,531,0,0,18.3
7/6/22,19557.31,686,0,1,16.1
7/7/22,22687.1,1041,0,1,17.2
7/8/22,49697.66,1395,0,1,17.9
7/9/22,80745.05,2258,0,1,18.5
7/10/22,41033.42,1331,0,1,15.5
7/11/22,16642.01,536,0,1,18
7/12/22,18402.42,597,0,0,21
7/13/22,20728.72,717,0,1,23.6
7/14/22,26819.53,1226,0,0,19.3
7/15/22,51191.71,1446,0,0,17.1
7/16/22,69662.65,2002,0,0,18.4
7/17/22,37386.73,1155,0,0,19.2
7/18/22,12906.46,434,0,0,24.3
7/19/22,11363.53,356,0,0,28.7
7/20/22,18146.38,696,0,1,26.5
7/21/22,26221.12,1198,0,1,18.4
7/22/22,43370.64,1291,0,1,17.8
7/23/22,69112.05,2009,0,1,19.6
7/24/22,34454.95,1028,0,0,23.4
7/25/22,15304.4,566,0,1,23.7
7/26/22,19376.09,751,0,1,18.6
7/27/22,33196.54,1176,0,1,16.7
7/28/22,35194.94,1566,0,0,18.4
7/29/22,56898.25,1584,0,1,19
7/30/22,77964.79,2264,0,0,19.6
7/31/22,53746.35,1647,0,1,21
8/1/22,22585.54,825,0,1,20.4
8/2/22,24682.38,899,0,0,21.4
8/3/22,21941.79,789,0,0,25.4
8/4/22,32437.64,1436,0,0,25.9
8/5/22,50261.91,1467,0,1,18.7
8/6/22,73869.52,2166,0,1,16.4
8/7/22,47819.85,1526,0,0,18.6
8/8/22,26369.28,920,0,0,19.6
8/9/22,19834.58,667,0,0,21.5
8/10/22,21779.99,683,0,0,23.4
8/11/22,30769.34,1247,0,0,24.8
8/12/22,53954.96,1389,0,0,25.2
8/13/22,75755.33,2101,0,0,25.2
8/14/22,46075.74,1354,0,1,25.5
8/15/22,17360.39,531,0,1,22.8
8/16/22,17163.13,621,0,1,23.8
8/17/22,25850.5,841,0,1,22
8/18/22,30987.37,1355,0,1,20.3
8/19/22,58093.72,1594,0,1,21
8/20/22,70748.96,2027,0,1,20.3
8/21/22,43140.16,1358,0,0,19.2
8/22/22,17829.61,542,0,0,21.4
8/23/22,20012.04,655,0,0,23.5
8/24/22,22123.08,718,0,0,25.2
8/25/22,27532.05,1091,0,0,26.5
8/26/22,48757.02,1384,0,1,21.1
8/27/22,71614.58,2113,0,1,18.7
8/28/22,45674.62,1506,0,0,18.6
8/29/22,21726.36,683,0,0,17.4
8/30/22,21547.48,528,0,0,20.3
8/31/22,22424.16,690,0,0,19.9
9/1/22,26173.09,1125,0,0,20
9/2/22,51770.05,1500,0,0,20.3
9/3/22,76713.9,2145,0,1,20.3
9/4/22,48483.5,1493,0,0,21.2
9/5/22,17024.33,520,0,0,23.3
9/6/22,14361.97,459,0,1,23.7
9/7/22,24160.8,746,0,1,20.1
9/8/22,28354.06,1124,0,1,17.9
9/9/22,49627.89,1455,0,1,16.4
9/10/22,74758.7,2175,0,1,15.8
9/11/22,50931.27,1615,0,1,16.3
9/12/22,14771.68,470,0,0,18
9/13/22,15341.96,478,0,1,20.3
